"trip_id","driver_id","driver_name","rider_id","city","pickup_lat","pickup_lng","drop_lat","drop_lng","distance_km","fare_amount","status","payment_method","pickup_date","pickup_time","drop_date","drop_time"
"24","8849","Sally Jackson","70919","San Francisco","37.3462","-114.624","37.3659","-114.629","6.27","13.78","Completed","Card","2023-01-01","00:23:00","2023-01-01","00:41:48"
"25","3047","Jeremiah West","39415","Los Angeles","40.9471","-115.747","40.9366","-115.706","5.3","12.22","Completed","Wallet","2023-01-01","00:24:00","2023-01-01","00:39:54"
"26","3747","Stephen Brown","28056","Boston","39.2739","-119.592","39.2303","-119.577","9.34","17.28","Completed","Wallet","2023-01-01","00:25:00","2023-01-01","00:53:01"
"27","1189","Scott King","95567","Seattle","37.4424","-79.6726","37.3934","-79.6452","6.77","16.78","Completed","UPI","2023-01-01","00:26:00","2023-01-01","00:46:18"
"28","3734","Michelle Hood","32772","Boston","40.8376","-110.329","40.8509","-110.315","5.45","15.63","Completed","UPI","2023-01-01","00:27:00","2023-01-01","00:43:21"
"29","4005","Jeffrey Coleman","51388","San Francisco","38.8291","-98.133","38.8302","-98.0961","9.32","20.11","Cancelled","Card","2023-01-01","00:28:00","2023-01-01","00:55:57"
"30","5658","Larry Watson","62314","Chicago","40.8491","-107.989","40.8165","-107.975","7.76","14.05","Completed","UPI","2023-01-01","00:29:00","2023-01-01","00:52:16"
"31","2899","Michael Cox","90316","Boston","38.4607","-73.7188","38.4514","-73.6767","1.5","8.16","Completed","Cash","2023-01-01","00:30:00","2023-01-01","00:34:30"
"32","8734","Rhonda Day","84181","Los Angeles","40.6374","-81.8366","40.6331","-81.8179","6.23","13.16","Completed","UPI","2023-01-01","00:31:00","2023-01-01","00:49:41"
"33","2267","Anna Johnson","34924","San Francisco","40.4134","-89.1288","40.4622","-89.1001","4.94","12.42","Completed","Wallet","2023-01-01","00:32:00","2023-01-01","00:46:49"
"34","2528","Christine Salazar","58221","Los Angeles","38.885","-77.588","38.879","-77.5551","7.47","17.27","Completed","Cash","2023-01-01","00:33:00","2023-01-01","00:55:24"
"35","4556","Jason Fletcher","51381","New York","38.2494","-109.818","38.2443","-109.769","5.9","9.32","Completed","Cash","2023-01-01","00:34:00","2023-01-01","00:51:42"
"36","4890","Jesse Ryan","55741","Boston","39.9619","-108.028","39.9829","-108.064","15.66","28.08","Completed","Card","2023-01-01","00:35:00","2023-01-01","01:21:58"
"37","9838","Thomas Flynn","91019","Seattle","40.4017","-82.8394","40.3721","-82.8716","11.02","25.88","Completed","Card","2023-01-01","00:36:00","2023-01-01","01:09:03"
"38","6393","Joshua Cochran","26965","San Francisco","37.1707","-110.586","37.1239","-110.592","3.69","8.58","Completed","Cash","2023-01-01","00:37:00","2023-01-01","00:48:04"
"39","9792","Michael Jackson","45430","Boston","37.8994","-91.6212","37.9233","-91.6159","9.22","22.43","Completed","Cash","2023-01-01","00:38:00","2023-01-01","01:05:39"
"40","9433","Julie Jefferson","97272","New York","38.7196","-86.7787","38.7011","-86.7376","11.6","25.12","Completed","Card","2023-01-01","00:39:00","2023-01-01","01:13:48"
"41","8513","Rachel Gordon","41807","San Francisco","37.8315","-103.876","37.8761","-103.88","8.09","21.92","Completed","Card","2023-01-01","00:40:00","2023-01-01","01:04:16"
"42","3612","Lisa Brown","25966","Los Angeles","38.0852","-87.0693","38.0621","-87.1135","9.07","21.72","Completed","Wallet","2023-01-01","00:41:00","2023-01-01","01:08:12"
"43","8041","Erika Mann","14258","Los Angeles","39.059","-118.957","39.038","-118.966","10.21","16.31","Completed","Card","2023-01-01","00:42:00","2023-01-01","01:12:37"
"44","7235","Grant Hull","16923","New York","38.5316","-102.048","38.5734","-102.052","12.02","27.82","Completed","Wallet","2023-01-01","00:43:00","2023-01-01","01:19:03"
"45","6486","Margaret Carrillo","35605","Boston","40.7378","-85.3771","40.749","-85.3305","12.4","24.29","Cancelled","Cash","2023-01-01","00:44:00","2023-01-01","01:21:12"
"46","8099","Mary Velazquez","44092","San Francisco","40.3674","-95.9878","40.3616","-96.0014","1.99","5.48","No-Show","Wallet","2023-01-01","00:45:00","2023-01-01","00:50:58"
"47","1775","Richard Luna","42868","Los Angeles","37.8329","-87.3883","37.7846","-87.3615","4.49","12.8","Completed","Wallet","2023-01-01","00:46:00","2023-01-01","00:59:28"
"48","9226","James Novak","26799","Los Angeles","40.7929","-94.8","40.7928","-94.7812","6.86","19.92","No-Show","UPI","2023-01-01","00:47:00","2023-01-01","01:07:34"
"49","4152","Vanessa Montgomery","96979","Boston","37.8678","-104.895","37.825","-104.908","4.62","10.52","Completed","Cash","2023-01-01","00:48:00","2023-01-01","01:01:51"
"50","2585","Ricardo Richardson","85111","New York","39.3861","-108.382","39.4169","-108.37","12.27","24.77","Cancelled","UPI","2023-01-01","00:49:00","2023-01-01","01:25:48"
"51","4943","Evan Pierce","56210","New York","38.2276","-98.8587","38.2717","-98.8693","9.45","15.87","Completed","Card","2023-01-01","00:50:00","2023-01-01","01:18:21"
"52","8555","Michael Fry","25230","New York","38.1388","-108.349","38.1002","-108.325","7.43","20.51","Completed","Wallet","2023-01-01","00:51:00","2023-01-01","01:13:17"
"53","4073","Tammy Webb","28130","Los Angeles","39.1612","-99.054","39.1725","-99.0249","8.35","23.61","Completed","UPI","2023-01-01","00:52:00","2023-01-01","01:17:03"
"54","2021","Jill Jones","30875","Los Angeles","40.7876","-103.774","40.8326","-103.761","3.98","10.12","Completed","Cash","2023-01-01","00:53:00","2023-01-01","01:04:56"
"55","4843","Jeffery Bowman","72908","Los Angeles","38.6756","-114.066","38.6992","-114.026","10.94","28.99","Completed","Card","2023-01-01","00:54:00","2023-01-01","01:26:49"
"56","8989","David Cochran","90163","Seattle","38.1254","-87.3795","38.1144","-87.4017","8.24","19.03","Completed","UPI","2023-01-01","00:55:00","2023-01-01","01:19:43"
"57","7873","Elizabeth Harrington","34041","Seattle","38.0012","-112.109","38.0429","-112.122","6.74","15.99","Completed","Wallet","2023-01-01","00:56:00","2023-01-01","01:16:13"
"58","6675","Darlene Martin","14443","Los Angeles","38.2363","-73.626","38.2375","-73.5934","10.95","16.44","Completed","UPI","2023-01-01","00:57:00","2023-01-01","01:29:51"
"59","1161","Steven Miller","19480","Los Angeles","38.7786","-76.3945","38.7621","-76.4385","7.75","17.34","Completed","Cash","2023-01-01","00:58:00","2023-01-01","01:21:15"
"60","5297","Kathleen Stone","64012","Los Angeles","40.4926","-74.3614","40.4592","-74.3645","9.34","27.04","Cancelled","Wallet","2023-01-01","00:59:00","2023-01-01","01:27:01"
"61","1995","Amanda Grant","71483","Chicago","38.2591","-93.4971","38.2185","-93.5018","0.37","5.22","Completed","Wallet","2023-01-01","01:00:00","2023-01-01","01:01:06"
"62","8629","Mark Turner","14170","Seattle","38.0897","-116.385","38.102","-116.377","4.4","8.95","Completed","Card","2023-01-01","01:01:00","2023-01-01","01:14:12"
"63","2016","Brenda Williams","98129","San Francisco","39.2968","-74.3521","39.2543","-74.3603","3.5","10.02","No-Show","Cash","2023-01-01","01:02:00","2023-01-01","01:12:30"
"64","8869","Joshua Williams","42805","New York","39.3647","-112.827","39.3575","-112.844","3.52","10.76","Completed","Cash","2023-01-01","01:03:00","2023-01-01","01:13:33"
"65","7439","Bryan Thomas","51725","San Francisco","38.7826","-89.5381","38.7979","-89.5125","7.03","18.65","No-Show","Card","2023-01-01","01:04:00","2023-01-01","01:25:05"
"66","8892","Shannon Rhodes","54837","Seattle","37.7624","-121.785","37.7523","-121.806","12.71","31.17","Completed","Card","2023-01-01","01:05:00","2023-01-01","01:43:07"
"67","7863","Mark Ibarra","53424","Boston","37.7644","-82.2873","37.8025","-82.296","4.17","12.04","Cancelled","UPI","2023-01-01","01:06:00","2023-01-01","01:18:30"
"68","8916","Dean Lee","14806","New York","39.0807","-96.1741","39.1067","-96.1954","9.15","14.33","Completed","Wallet","2023-01-01","01:07:00","2023-01-01","01:34:27"
"69","9529","Sheila Brooks","47611","Seattle","38.1396","-108.738","38.1621","-108.73","12.07","18.71","Completed","Cash","2023-01-01","01:08:00","2023-01-01","01:44:12"
"70","1878","Roger Day","26662","New York","37.6122","-116.241","37.5761","-116.235","13.15","20.62","Cancelled","Wallet","2023-01-01","01:09:00","2023-01-01","01:48:27"
"71","5887","Amanda Gregory","59605","Los Angeles","37.1057","-84.419","37.1498","-84.423","5.18","11.08","Completed","Wallet","2023-01-01","01:10:00","2023-01-01","01:25:32"
"72","5859","Donna Smith","96623","Los Angeles","37.5371","-120.439","37.4955","-120.417","11.33","28.91","Completed","Cash","2023-01-01","01:11:00","2023-01-01","01:44:59"
"73","7331","Lindsay Marsh","56128","Boston","40.3246","-89.804","40.3256","-89.833","10.69","29.77","No-Show","Cash","2023-01-01","01:12:00","2023-01-01","01:44:04"
"74","9571","Carl Douglas","30848","San Francisco","37.6233","-76.4935","37.5991","-76.5183","10.31","14.94","Completed","Wallet","2023-01-01","01:13:00","2023-01-01","01:43:55"
"75","9684","Bryan Weaver","59452","San Francisco","37.0108","-100.198","37.0165","-100.171","1.99","5.31","Cancelled","UPI","2023-01-01","01:14:00","2023-01-01","01:19:58"
"76","8208","Veronica Morris","16042","San Francisco","38.5654","-111.176","38.5287","-111.126","6.04","9.51","Cancelled","UPI","2023-01-01","01:15:00","2023-01-01","01:33:07"
"77","6276","Amy Cooper","80602","Boston","40.7126","-118.909","40.7405","-118.92","8.19","23.71","Completed","Cash","2023-01-01","01:16:00","2023-01-01","01:40:34"
"78","3062","Gregory Hunter","76864","Chicago","39.0861","-109.21","39.1123","-109.16","10.2","15.66","Cancelled","Card","2023-01-01","01:17:00","2023-01-01","01:47:36"
"79","1064","Nicholas Thomas","81929","San Francisco","37.0411","-96.1221","37.0105","-96.0918","7.66","17.76","Cancelled","Cash","2023-01-01","01:18:00","2023-01-01","01:40:58"
"80","9006","Nancy Zimmerman","69323","New York","39.8371","-78.3024","39.8381","-78.3138","8.41","16.51","Completed","Card","2023-01-01","01:19:00","2023-01-01","01:44:13"
"81","3568","Randall Rivera","89297","New York","38.6028","-87.756","38.5987","-87.7721","8.77","22.24","Completed","Card","2023-01-01","01:20:00","2023-01-01","01:46:18"
"82","6463","Shelby Harris","24182","Los Angeles","40.075","-87.1912","40.0436","-87.2242","5.18","10.83","Completed","Card","2023-01-01","01:21:00","2023-01-01","01:36:32"
"83","3027","Jeremy Miles","24394","Seattle","39.3874","-99.2871","39.4201","-99.2629","4.6","8.52","Cancelled","UPI","2023-01-01","01:22:00","2023-01-01","01:35:48"
"84","3695","Dr. Jesse Duran","66540","Los Angeles","37.5579","-78.2509","37.5884","-78.2598","9.18","21.84","Cancelled","UPI","2023-01-01","01:23:00","2023-01-01","01:50:32"
"85","6258","Susan Thompson","23883","San Francisco","38.8875","-79.6474","38.9358","-79.669","4.37","10.57","No-Show","Wallet","2023-01-01","01:24:00","2023-01-01","01:37:06"
"86","6618","Erik Fox","27941","San Francisco","39.2209","-109.786","39.1726","-109.743","1.82","7.01","Completed","Wallet","2023-01-01","01:25:00","2023-01-01","01:30:27"
"87","7736","Jeremy Harris","32360","Los Angeles","39.0017","-96.9642","38.968","-97.0113","7.29","18.83","Cancelled","Wallet","2023-01-01","01:26:00","2023-01-01","01:47:52"
"88","1391","Elizabeth Lee","66681","Seattle","40.1506","-112.705","40.1458","-112.687","6.97","19.52","Completed","Card","2023-01-01","01:27:00","2023-01-01","01:47:54"
"89","6892","Taylor Johnson","74048","New York","40.3985","-99.2277","40.3494","-99.2705","2.96","4.97","Completed","UPI","2023-01-01","01:28:00","2023-01-01","01:36:52"
"90","4561","Michael Howell","66271","Seattle","39.6666","-77.3083","39.6438","-77.3322","10.48","25.39","Completed","Wallet","2023-01-01","01:29:00","2023-01-01","02:00:26"
"91","7184","Heather Clarke","18720","Boston","37.1493","-88.8243","37.1476","-88.81","4.27","13.48","Completed","Card","2023-01-01","01:30:00","2023-01-01","01:42:48"
"92","4099","Bobby Smith","84225","Boston","38.4099","-116.939","38.4089","-116.973","4.29","12.96","Completed","Wallet","2023-01-01","01:31:00","2023-01-01","01:43:52"
"93","7278","Richard Johnson","49550","Boston","38.4754","-87.4425","38.4407","-87.4188","1.76","6.65","Completed","Card","2023-01-01","01:32:00","2023-01-01","01:37:16"
"94","9392","Anne Powers","82682","San Francisco","37.8899","-78.989","37.9096","-78.9569","6.13","11.34","Completed","Wallet","2023-01-01","01:33:00","2023-01-01","01:51:23"
"95","4104","Michael Logan","17914","Boston","38.7105","-89.2409","38.7356","-89.2159","7.32","19.38","Cancelled","UPI","2023-01-01","01:34:00","2023-01-01","01:55:57"
"96","8215","Tom Rosario","72953","Chicago","37.7509","-120.284","37.7079","-120.236","7.91","18.68","Completed","Card","2023-01-01","01:35:00","2023-01-01","01:58:43"
"97","3454","Carrie Rogers","94765","Seattle","40.0223","-120.838","39.9962","-120.862","6.8","15.13","Completed","Cash","2023-01-01","01:36:00","2023-01-01","01:56:24"
"98","9996","Daniel Vasquez","61277","San Francisco","40.3377","-121.595","40.3379","-121.609","2.15","9.22","Cancelled","Wallet","2023-01-01","01:37:00","2023-01-01","01:43:27"
"99","3731","Frank Jefferson","82877","Seattle","40.7376","-83.3068","40.7315","-83.2727","4.98","13.58","No-Show","Wallet","2023-01-01","01:38:00","2023-01-01","01:52:56"
"100","9154","Sabrina Clark","75129","Chicago","37.0565","-85.7242","37.0405","-85.7043","5.59","14.51","Completed","Card","2023-01-01","01:39:00","2023-01-01","01:55:46"
"101","6056","Heather Stevens","25391","San Francisco","39.1552","-113.775","39.1215","-113.767","13.45","28.31","Completed","Card","2023-01-01","01:40:00","2023-01-01","02:20:21"
"102","9110","Kevin Hartman","39285","San Francisco","37.8364","-83.483","37.824","-83.4693","5.92","15.82","Completed","UPI","2023-01-01","01:41:00","2023-01-01","01:58:45"
"103","4840","Daniel Hale","46106","Boston","39.1231","-112.467","39.153","-112.481","9.45","15.35","Completed","Cash","2023-01-01","01:42:00","2023-01-01","02:10:21"
"104","2028","Richard Foster","67588","San Francisco","37.2831","-77.2679","37.2949","-77.2754","7.89","11.77","Completed","UPI","2023-01-01","01:43:00","2023-01-01","02:06:40"
"105","8385","Joy Calderon","76405","Chicago","40.0611","-103.252","40.0235","-103.251","6.88","11.48","Completed","Cash","2023-01-01","01:44:00","2023-01-01","02:04:38"
"106","1502","Timothy Cox","82320","Seattle","38.1796","-121.537","38.1832","-121.584","9.84","24.36","Completed","Wallet","2023-01-01","01:45:00","2023-01-01","02:14:31"
"107","7910","Kelly Stone","96029","New York","39.2667","-74.004","39.2191","-73.994","5.81","9.97","Completed","UPI","2023-01-01","01:46:00","2023-01-01","02:03:25"
"108","7938","Carrie Smith","17042","Chicago","40.1862","-73.3457","40.1652","-73.3951","10.83","29.34","Completed","Wallet","2023-01-01","01:47:00","2023-01-01","02:19:29"
"109","5488","Rebecca Silva","76221","Los Angeles","38.7366","-73.4054","38.7096","-73.4129","6.37","14.54","Completed","Card","2023-01-01","01:48:00","2023-01-01","02:07:06"
"110","1206","Sarah Sanders","91293","Seattle","40.9714","-117.425","40.9679","-117.465","8.47","20.19","Completed","Card","2023-01-01","01:49:00","2023-01-01","02:14:24"
"111","6134","Christopher Schmidt","61126","San Francisco","40.2208","-118.608","40.2266","-118.569","3.8","10.07","Completed","UPI","2023-01-01","01:50:00","2023-01-01","02:01:24"
"112","6977","Manuel Cole","66746","Chicago","38.6946","-99.9012","38.7029","-99.9337","8.59","21.83","Completed","Wallet","2023-01-01","01:51:00","2023-01-01","02:16:46"
"113","8721","Paul Bryant MD","85112","Boston","39.8184","-108.091","39.7889","-108.084","7.22","14.27","Completed","Wallet","2023-01-01","01:52:00","2023-01-01","02:13:39"
"114","8035","Charles James","96058","Los Angeles","39.6786","-96.263","39.6903","-96.2216","5.54","9.27","No-Show","Cash","2023-01-01","01:53:00","2023-01-01","02:09:37"
"115","2484","Patrick Hudson","41340","New York","37.1736","-84.3117","37.1474","-84.3265","5.66","15.31","Completed","Card","2023-01-01","01:54:00","2023-01-01","02:10:58"
"116","8858","Bradley Carr","33793","Chicago","38.483","-119.037","38.4978","-119.025","3.96","12.02","Completed","Card","2023-01-01","01:55:00","2023-01-01","02:06:52"
"117","1863","Richard Schmitt","70470","Chicago","39.1023","-119.279","39.1199","-119.238","3.8","10.55","Completed","UPI","2023-01-01","01:56:00","2023-01-01","02:07:24"
"118","3790","Chad Williams","26950","Chicago","38.6601","-106.521","38.6865","-106.483","9.34","15.66","Completed","Card","2023-01-01","01:57:00","2023-01-01","02:25:01"
"119","8408","Roger Johnson","38493","Los Angeles","37.7278","-107.369","37.7515","-107.383","0.05","4.92","Completed","Card","2023-01-01","01:58:00","2023-01-01","01:58:09"
"120","9755","Lauren Richardson","85193","Boston","39.6462","-78.0968","39.6079","-78.1223","5.06","12.72","Completed","Wallet","2023-01-01","01:59:00","2023-01-01","02:14:10"
"121","6116","John Campbell","87930","Los Angeles","40.9518","-100.097","40.9728","-100.048","7.24","16.38","Completed","UPI","2023-01-01","02:00:00","2023-01-01","02:21:43"
"122","7019","Blake Mcdaniel","70914","Boston","38.3628","-118.441","38.3243","-118.436","11.21","17.3","Completed","Cash","2023-01-01","02:01:00","2023-01-01","02:34:37"
"123","2757","Kevin Palmer","45233","Boston","40.8403","-113.312","40.8314","-113.326","5.56","11.62","Completed","UPI","2023-01-01","02:02:00","2023-01-01","02:18:40"
"124","8574","Chelsey Jackson","41039","New York","40.0259","-106.981","40.0308","-107.027","8.23","22.23","Completed","Cash","2023-01-01","02:03:00","2023-01-01","02:27:41"
"125","7374","James Gray","14348","San Francisco","38.3128","-84.9533","38.313","-84.9376","5.34","12.85","Completed","Card","2023-01-01","02:04:00","2023-01-01","02:20:01"
"126","7892","Paul Ballard","13926","Seattle","38.6787","-84.4938","38.6441","-84.4665","5.19","12.74","Cancelled","Cash","2023-01-01","02:05:00","2023-01-01","02:20:34"
"127","2678","Matthew Gomez","33943","San Francisco","39.5081","-91.481","39.5275","-91.5291","7","13.76","Completed","Cash","2023-01-01","02:06:00","2023-01-01","02:27:00"
"128","4242","Troy Collier","87241","Chicago","39.9911","-110.562","39.9847","-110.591","13.27","36.72","Cancelled","Card","2023-01-01","02:07:00","2023-01-01","02:46:48"
"129","5636","Jeremiah Adams","79546","San Francisco","39.9876","-113.647","39.9838","-113.681","11.38","26.7","Completed","Wallet","2023-01-01","02:08:00","2023-01-01","02:42:08"
"130","2059","Mr. Ronald Cox MD","11400","Seattle","39.5645","-87.9185","39.5614","-87.8702","6.36","16.01","Completed","Card","2023-01-01","02:09:00","2023-01-01","02:28:04"
"131","7668","Patrick Montoya","92660","Chicago","37.4498","-100.215","37.4883","-100.183","2.35","5.05","Completed","Wallet","2023-01-01","02:10:00","2023-01-01","02:17:03"
"132","4157","Joshua Steele","27086","Los Angeles","40.4167","-96.5647","40.4421","-96.575","4.71","14.49","Completed","Cash","2023-01-01","02:11:00","2023-01-01","02:25:07"
"133","6915","Lori Rivera","16255","San Francisco","38.069","-116.838","38.1096","-116.869","11.39","21.1","Completed","Cash","2023-01-01","02:12:00","2023-01-01","02:46:10"
"134","3693","Jacqueline Conley","47156","New York","37.7012","-115.546","37.6775","-115.502","9.8","19.53","Cancelled","Card","2023-01-01","02:13:00","2023-01-01","02:42:24"
"135","4627","Samantha Miller","51915","New York","37.8485","-82.4609","37.8407","-82.4386","7.74","19.14","Completed","UPI","2023-01-01","02:14:00","2023-01-01","02:37:13"
"136","6450","Michele Morse","35449","New York","37.1617","-83.637","37.2024","-83.6113","5.6","14.91","Completed","UPI","2023-01-01","02:15:00","2023-01-01","02:31:48"
"137","2663","Michael Salazar","42765","Los Angeles","39.9431","-78.2446","39.9272","-78.2508","1.53","5.77","Completed","Cash","2023-01-01","02:16:00","2023-01-01","02:20:35"
"138","6592","Kathryn Campbell","82663","Chicago","37.2076","-83.8585","37.1748","-83.8979","7.5","21.21","Completed","UPI","2023-01-01","02:17:00","2023-01-01","02:39:30"
"139","8392","Christopher Johnson","70722","Los Angeles","37.1672","-81.5429","37.2106","-81.5835","7.35","19.6","Completed","Cash","2023-01-01","02:18:00","2023-01-01","02:40:03"
"140","2306","Michael Reyes","44588","Los Angeles","37.0064","-103.332","37.0554","-103.316","9.69","16.4","Completed","Card","2023-01-01","02:19:00","2023-01-01","02:48:04"
"141","7776","Mr. Timothy Arnold MD","34290","Los Angeles","37.019","-87.9129","37.0544","-87.8676","9.87","27.16","Completed","Wallet","2023-01-01","02:20:00","2023-01-01","02:49:36"
"142","6864","Tyler Mullen","63896","Boston","39.7199","-110.935","39.7611","-110.93","9.88","21.3","Completed","Cash","2023-01-01","02:21:00","2023-01-01","02:50:38"
"143","8526","Chad Jones","41699","Los Angeles","38.9815","-104.404","38.9562","-104.376","7.81","23.46","Completed","Card","2023-01-01","02:22:00","2023-01-01","02:45:25"
"144","9901","Kathryn Price","27763","San Francisco","39.6893","-118.314","39.673","-118.34","8.18","23.03","Completed","UPI","2023-01-01","02:23:00","2023-01-01","02:47:32"
"145","6575","Kristin Fuentes","72923","Chicago","37.927","-114.568","37.882","-114.57","3.34","6.69","Completed","Card","2023-01-01","02:24:00","2023-01-01","02:34:01"
"146","6530","Todd Grant","67622","New York","39.8779","-76.1391","39.8706","-76.1841","11.17","26.03","Completed","Card","2023-01-01","02:25:00","2023-01-01","02:58:30"
"147","5413","Kevin Osborne","99958","Seattle","38.2463","-102.215","38.2482","-102.196","6.56","15.47","Completed","Card","2023-01-01","02:26:00","2023-01-01","02:45:40"
"148","4748","Leslie Marquez","14347","Boston","38.9884","-81.9438","39.0369","-81.9394","8.55","17.13","Completed","Card","2023-01-01","02:27:00","2023-01-01","02:52:39"
"149","1663","Jessica Crawford","35607","Chicago","40.4499","-98.6133","40.4668","-98.5659","8.99","19.3","Completed","Cash","2023-01-01","02:28:00","2023-01-01","02:54:58"
"150","2998","Rachel Hopkins","39257","Chicago","37.2588","-118.177","37.224","-118.224","8.63","18.69","Completed","Card","2023-01-01","02:29:00","2023-01-01","02:54:53"
"151","8994","Madison Austin","93263","Los Angeles","40.421","-83.7213","40.4251","-83.6736","0.95","2.57","Completed","Cash","2023-01-01","02:30:00","2023-01-01","02:32:51"
"152","2495","Justin Jenkins","31654","New York","38.326","-88.4534","38.3575","-88.4452","9.53","22.09","Completed","UPI","2023-01-01","02:31:00","2023-01-01","02:59:35"
"153","4304","Mark Gonzalez","92524","Chicago","37.9825","-107.023","38.015","-107.023","9.67","25.2","No-Show","Wallet","2023-01-01","02:32:00","2023-01-01","03:01:00"
"154","4763","Amanda Stanley","32903","San Francisco","40.3952","-117.304","40.4187","-117.329","0.58","5.71","Completed","Wallet","2023-01-01","02:33:00","2023-01-01","02:34:44"
"155","6232","Amanda Davis","20847","New York","39.78","-73.3198","39.8118","-73.2776","4.98","11.4","Completed","Cash","2023-01-01","02:34:00","2023-01-01","02:48:56"
"156","2853","Amy Alvarez","98503","San Francisco","38.184","-78.5021","38.1438","-78.5508","9.16","16.09","No-Show","Wallet","2023-01-01","02:35:00","2023-01-01","03:02:28"
"157","7585","Nathaniel Mann","57245","Boston","39.7874","-94.5566","39.7701","-94.6048","2.82","8","Completed","Wallet","2023-01-01","02:36:00","2023-01-01","02:44:27"
"158","2291","Scott Friedman","10591","Chicago","40.6139","-75.8593","40.5915","-75.8443","8.18","19.22","Completed","Card","2023-01-01","02:37:00","2023-01-01","03:01:32"
"159","4581","Cynthia Burton","34422","Boston","40.4819","-80.4593","40.455","-80.5054","3.89","12.46","Completed","Wallet","2023-01-01","02:38:00","2023-01-01","02:49:40"
